"Decennial census population counts for the U.S., States, and counties, 1990-2020",,,,,,,,,
FIPStxt,State,Area name,Rural-urban continuum code 2013,Population 1990,Population 2000,Population 2010,Population 2020,,
00000,US,United States,,"248,790,925","281,424,600","308,745,538","331,449,281",,
01000,AL,Alabama,,"4,040,389","4,447,207","4,779,736","5,024,279",,
01001,AL,Autauga County,2,"34,222","43,751","54,571","58,805",,
01003,AL,Baldwin County,3,"98,280","140,416","182,265","231,767",,
01005,AL,Barbour County,6,"25,417","29,042","27,457","25,223",,
01007,AL,Bibb County,1,"16,598","19,856","22,915","22,293",,
01009,AL,Blount County,1,"39,248","50,982","57,322","59,134",,
01011,AL,Bullock County,6,"11,042","11,603","10,914","10,357",,
01013,AL,Butler County,6,"21,892","21,394","20,947","19,051",,
01015,AL,Calhoun County,3,"116,032","111,882","118,572","116,441",,
01017,AL,Chambers County,6,"36,876","36,600","34,215","34,772",,
01019,AL,Cherokee County,6,"19,543","23,909","25,989","24,971",,
01021,AL,Chilton County,1,"32,458","39,604","43,643","45,014",,
01023,AL,Choctaw County,9,"16,018","15,953","13,859","12,665",,
01025,AL,Clarke County,7,"27,240","27,870","25,833","23,087",,
01027,AL,Clay County,9,"13,252","14,240","13,932","14,236",,
01029,AL,Cleburne County,8,"12,730","14,141","14,972","15,056",,
01031,AL,Coffee County,4,"40,240","43,639","49,948","53,465",,
01033,AL,Colbert County,3,"51,666","54,979","54,428","57,227",,
01035,AL,Conecuh County,7,"14,054","14,077","13,228","11,597",,
01037,AL,Coosa County,8,"11,063","11,842","11,539","10,387",,
01039,AL,Covington County,6,"36,478","37,640","37,765","37,570",,
01041,AL,Crenshaw County,8,"13,635","13,657","13,906","13,194",,
01043,AL,Cullman County,4,"67,613","77,426","80,406","87,866",,
01045,AL,Dale County,4,"49,633","49,120","50,251","49,326",,
01047,AL,Dallas County,4,"48,130","46,361","43,820","38,462",,
01049,AL,DeKalb County,6,"54,651","64,436","71,109","71,608",,
01051,AL,Elmore County,2,"49,210","65,819","79,303","87,977",,
01053,AL,Escambia County,6,"35,518","38,452","38,319","36,757",,
01055,AL,Etowah County,3,"99,840","103,448","104,430","103,436",,
01057,AL,Fayette County,6,"17,962","18,522","17,241","16,321",,
01059,AL,Franklin County,6,"27,814","31,257","31,704","32,113",,
01061,AL,Geneva County,3,"23,647","25,700","26,790","26,659",,
01063,AL,Greene County,8,"10,153","9,923","9,045","7,730",,
01065,AL,Hale County,3,"15,498","18,270","15,760","14,785",,
01067,AL,Henry County,3,"15,374","16,297","17,302","17,146",,
01069,AL,Houston County,3,"81,331","88,831","101,547","107,202",,
01071,AL,Jackson County,6,"47,796","53,871","53,227","52,579",,
01073,AL,Jefferson County,1,"651,520","662,041","658,466","674,721",,
01075,AL,Lamar County,8,"15,715","15,902","14,564","13,972",,
01077,AL,Lauderdale County,3,"79,661","87,952","92,709","93,564",,
01079,AL,Lawrence County,3,"31,513","34,834","34,339","33,073",,
01081,AL,Lee County,3,"87,146","115,014","140,247","174,241",,
01083,AL,Limestone County,2,"54,135","65,668","82,782","103,570",,
01085,AL,Lowndes County,2,"12,658","13,483","11,299","10,311",,
01087,AL,Macon County,6,"24,928","24,086","21,452","19,532",,
01089,AL,Madison County,2,"238,912","276,998","334,811","388,153",,
