State,Sq. Mi.,Sq. Km.
Total,"3,535,932","9,158,022"
United States,"3,531,905","9,147,593"
Alabama,"50,645","131,171"
Alaska,"570,641","1,477,953"
Arizona,"113,594","294,207"
Arkansas,"52,035","134,771"
California,"155,779","403,466"
Colorado,"103,642","268,431"
Connecticut,"4,842","12,542"
Delaware,"1,949","5,047"
District of Columbia,61,158
Florida,"53,625","138,887"
Georgia,"57,513","148,959"
Hawaii,"6,423","16,635"
Idaho,"82,643","214,045"
Illinois,"55,519","143,793"
Indiana,"35,826","92,789"
Iowa,"55,857","144,669"
Kansas,"81,759","211,754"
Kentucky,"39,486","102,269"
Louisiana,"43,204","111,898"
Maine,"30,843","79,883"
Maryland,"9,707","25,142"
Massachusetts,"7,800","20,202"
Michigan,"56,539","146,435"
Minnesota,"79,627","206,232"
Mississippi,"46,923","121,531"
Missouri,"68,742","178,040"
Montana,"145,546","376,962"
Nebraska,"76,824","198,974"
Nevada,"109,781","284,332"
New Hampshire,"8,953","23,187"
New Jersey,"7,354","19,047"
New Mexico,"121,298","314,161"
New York,"47,126","122,057"
North Carolina,"48,618","125,920"
North Dakota,"69,001","178,711"
Ohio,"40,861","105,829"
Oklahoma,"68,595","177,660"
Oregon,"95,988","248,608"
Pennsylvania,"44,743","115,883"
Rhode Island,"1,034","2,678"
South Carolina,"30,061","77,857"
South Dakota,"75,811","196,350"
Tennessee,"41,235","106,798"
Texas,"261,232","676,587"
Utah,"82,170","212,818"
Vermont,"9,217","23,871"
Virginia,"39,490","102,279"
Washington,"66,456","172,119"
West Virginia,"24,038","62,259"
Wisconsin,"54,158","140,268"
Wyoming,"97,093","251,470"
Puerto Rico,"3,424","8,868"
Island Areas:5,603,"1,562"
American Samoa,76,198
Guam,210,543
Northern Mariana Islands,182,472
U.S. Virgin Islands,134,348
