State/Territory/Federal Entity,Total Doses Delivered,Doses Delivered per 100K,18+ Doses Delivered per 100K,Total Doses Administered by State where Administered,Doses Administered per 100k by State where Administered,18+ Doses Administered by State where Administered,18+ Doses Administered per 100K by State where Administered,People with at least One Dose by State of Residence,Percent of Total Pop with at least One Dose by State of Residence,People 18+ with at least One Dose by State of Residence,Percent of 18+ Pop with at least One Dose by State of Residence,People Fully Vaccinated by State of Residence,Percent of Total Pop Fully Vaccinated by State of Residence,People 18+ Fully Vaccinated by State of Residence,Percent of 18+ Pop Fully Vaccinated by State of Residence,Total Number of Pfizer doses delivered,Total Number of Moderna doses delivered,Total Number of Janssen doses delivered,Total Number of doses from Other manufacturer delivered,Total Number of Janssen doses administered,Total Number of Moderna doses administered,Total Number of Pfizer doses adminstered,Total Number of doses from Other manufacturer administered,People Fully Vaccinated Moderna Resident,People Fully Vaccinated Pfizer Resident,People Fully Vaccinated Janssen Resident,People Fully Vaccinated Other 2-dose manufacturer Resident,People 18+ Fully Vaccinated Moderna Resident,People 18+ Fully Vaccinated Pfizer Resident,People 18+ Fully Vaccinated Janssen Resident,People 18+ Fully Vaccinated Other 2-dose manufacturer Resident,People with 2 Doses by State of Residence,Percent of Total Pop with 1+ Doses by State of Residence,People 18+ with 1+ Doses by State of Residence,Percent of 18+ Pop with 1+ Doses by State of Residence,Percent of Total Pop with 2 Doses by State of Residence,People 18+ with 2 Doses by State of Residence,Percent of 18+ Pop with 2 Doses by State of Residence,People with 1+ Doses by State of Residence,People 65+ with at least One Dose by State of Residence,Percent of 65+ Pop with at least One Dose by State of Residence,People 65+ Fully Vaccinated by State of Residence,Percent of 65+ Pop Fully Vaccinated by State of Residence,People 65+ Fully Vaccinated_Moderna_Resident,People 65+ Fully Vaccinated_Pfizer_Resident,People 65+ Fully Vaccinated_Janssen_Resident,People 65+ Fully Vaccinated_Other 2-dose Manuf_Resident,65+ Doses Administered by State where Administered,Doses Administered per 100k of 65+ pop by State where Administered,Doses Delivered per 100k of 65+ pop,People 12+ with at least One Dose by State of Residence,Percent of 12+ Pop with at least One Dose by State of Residence,People 12+ Fully Vaccinated by State of Residence,Percent of 12+ Pop Fully Vaccinated by State of Residence,People 12+ Fully Vaccinated_Moderna_Resident,People 12+ Fully Vaccinated_Pfizer_Resident,People 12+ Fully Vaccinated_Janssen_Resident,People 12+ Fully Vaccinated_Other 2-dose Manuf_Resident,12+ Doses Administered by State where Administered,Doses Administered per 100k of 12+ pop by State where Administered,Doses Delivered per 100k of 12+ pop,People 5+ with at least One Dose by State of Residence,Percent of 5+ Pop with at least One Dose by State of Residence,People 5+ Fully Vaccinated by State of Residence,Percent of 5+ Pop Fully Vaccinated by State of Residence,People 5+ Fully Vaccinated_Moderna_Resident,People 5+ Fully Vaccinated_Pfizer_Resident,People 5+ Fully Vaccinated_Janssen_Resident,People 5+ Fully Vaccinated_Other 2-dose Manuf_Resident,5+ Doses Administered by State where Administered,Doses Administered per 100k of 5+ pop  by State where Administered,Doses Delivered per 100k of 5+ pop,People who have received a booster dose,Percent of fully vaccinated people with booster doses,People 12+ who have received a booster dose,Percent of fully vaccinated people 12+ with booster doses,People 18+ who have received a booster dose,Percent of fully vaccinated people 18+ with booster doses,People 65+ who have received a booster dose,Percent of fully vaccinated people 65+ with booster doses,People with Moderna booster dose,People with Pfizer booster dose,People with Janssen booster dose,People with booster dose of an Other manufacturer,Total Count People w/Booster Primary Pfizer Minus TX,Total Count People w/Booster Primary Moderna Minus TX,Total Count People w/Booster Primary J&J Minus TX,Total Count People w/Booster Primary Other Minus TX,Total Count People w/Booster Booster Pfizer Minus TX,Total Count People w/Booster Booster Moderna Minus TX,Total Count People w/Booster Booster J&J Minus TX,Total Count People w/Booster Booster Other Minus TX,Count People Primary Pfizer Booster Pfizer,Count People Primary Pfizer Booster Moderna,Count People Primary Pfizer Booster J&J,Count People Primary Pfizer Booster Uknown,Count People Primary Moderna Booster Pfizer,Count People Primary Moderna Booster Moderna,Count People Primary Moderna Booster J&J,Count People Primary Moderna Booster Uknown,Count People Primary J&J Booster Pfizer,Count People Primary J&J Booster Moderna,Count People Primary J&J Booster J&J,Count People Primary J&J Booster Other,Count People Primary Other Booster Pfizer,Count People Primary Other Booster Moderna,Count People Primary Other Booster J&J,Count People Primary Other Booster Other,Percent People Primary Pfizer Booster Pfizer,Percent People Primary Pfizer Booster Moderna,Percent People Primary Pfizer Booster J&J,Percent People Primary Pfizer Booster Other,Percent People Primary Moderna Booster Pfizer,Percent People Primary Moderna Booster Moderna,Percent People Primary Moderna Booster J&J,Percent People Primary Moderna Booster Other,Percent People Primary J&J Booster Pfizer,Percent People Primary J&J Booster Moderna,Percent People Primary J&J Booster J&J,Percent People Primary J&J Booster Other,Percent People Primary Other Booster Pfizer,Percent People Primary Other Booster Moderna,Percent People Primary Other Booster J&J,Percent People Primary Other Booster Uknown
United States,705978645,212639,273360,562935409,169554,508943648,197067,255838817,77.1,228465129,88.5,217955850,65.6,195098258,75.5,413501665,261938480,30538500,0,18599938,211419985,332381918,533568,75876160,125049483,16878997,151210,75788453,102318991,16847548,143266,N/A,77.1,N/A,88.5,62.3,184103055,71.3,255838817,56299588,95,48871925,89.2,23295486,23157453,2354555,64431,139147407,253956,1288470,245814083,86.7,209912415,74,75869819,117019523,16873921,149152,544760385,192142,249005,255743261,81.9,217916739,69.8,75872998,125016795,16875903,151043,562802529,180232,226083,98168087,45,98142620,46.8,94644251,48.5,32998936,67.5,42264813,54395221,1479154,28899,49397457,36640878,5417962,N/A,50752461,39383088,1379435,28693,45920211,3431973,33875,11398,2915111,33681721,34097,9949,1872151,2232855,1311143,1813,44988,36539,320,5533,93,6.9,0.1,0,8,91.9,0.1,0,34.6,41.2,24.2,0,51.5,41.8,0.4,6.3
Alaska,1490565,203756,270244,1121905,153361,1005022,182214,507491,69.4,449305,81.5,452217,61.8,401885,72.9,829345,576920,84300,0,46454,431778,642547,1126,160247,250293,41555,122,159810,200569,41390,116,N/A,69.4,N/A,81.5,57.2,368625,66.8,507491,86311,94.2,78475,85.7,43017,31725,3688,45,217122,237064,1627470,485372,79.7,434460,71.4,160238,232552,41548,122,1081413,177608,244806,507165,74.5,452063,66.4,160242,250149,41550,122,1121425,164803,219051,192453,42.6,192369,44.3,184687,46,56787,72.4,85366,104149,2913,25,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Alabama,9455740,192849,247865,6180194,126044,5767646,151188,3056752,62.3,2829402,74.2,2487271,50.7,2317029,60.7,4950180,4109460,396100,0,176801,2689185,3313687,521,1024820,1296683,165082,686,1024314,1127050,164984,681,N/A,62.3,N/A,74.2,48.3,2198312,57.6,3056752,811342,95,692236,81.5,367479,287393,36932,432,1852732,218010,1112650,2992930,71.5,2445695,58.4,1024800,1255138,165071,686,6072126,145027,225842,3056317,66.3,2487207,54,1024816,1296632,165073,686,6179703,134084,205166,872062,35.1,871944,35.7,857171,37,399442,57.7,429379,426963,15616,104,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Arkansas,5978480,198107,257955,4149914,137514,3784196,163277,1999265,66.2,1801184,77.7,1630638,54,1477012,63.7,3222360,2503520,252600,0,122630,1770033,2253240,4011,662115,854699,112517,1307,660928,703211,111965,908,N/A,66.2,N/A,77.7,51.4,1396900,60.3,1999265,496936,94.9,417977,79.8,234658,167065,15757,497,1167469,222850,1141190,1934725,75.7,1585503,62,662092,810075,112387,949,4040629,158007,233786,1997186,70.6,1630128,57.6,662102,854328,112396,1302,4147428,146586,211303,633039,38.8,632891,39.9,616871,41.8,265183,63.4,308785,313874,9900,480,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
American Samoa,114610,241834,365757,105490,222590,78163,249443,44860,94.7,32017,95,40756,86,28921,92.3,90510,23500,600,0,571,24187,80125,607,9394,30482,581,299,9373,18671,580,297,N/A,94.7,N/A,95,85.4,28617,91.3,44860,3169,95,2894,88.3,1194,1666,27,7,8050,245577,3496340,38667,95,35139,95,9393,24866,581,299,93602,253547,310453,44850,95,40756,94.5,9394,30482,581,299,105480,244676,265855,20453,50.2,20440,58.2,17907,61.9,2103,72.7,4462,15981,2,8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Arizona,14410820,197986,255580,11817194,162353,10636083,188634,5267166,72.4,4657205,82.6,4441098,61,3966055,70.3,8285600,5519320,605900,0,367140,4634803,6786979,28272,1629255,2472643,331701,7499,1628503,1998957,331229,7366,N/A,72.4,N/A,82.6,57.7,3728551,66.1,5267166,1288257,95,1117161,85.4,544054,518486,50638,3983,3314912,253311,1101210,5048271,81.3,4283800,69,1629200,2315675,331454,7471,11430702,184186,232206,5266155,76.9,4440786,64.8,1629238,2472586,331463,7499,11816024,172524,210410,1814986,40.9,1814212,42.4,1746718,44,673205,60.3,797071,992821,23523,1571,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Bureau of Prisons,341130,N/A,N/A,311353,N/A,311351,N/A,144186,N/A,144184,N/A,133734,N/A,133733,N/A,173010,152020,16100,0,14166,141196,155959,32,53099,67150,13485,0,53099,67150,13484,0,N/A,N/A,N/A,N/A,0,123714,0,144186,3944,0,3657,0,1761,1700,196,0,9915,0,0,144184,0,133733,0,53099,67150,13484,0,311351,0,0,144184,0,133733,0,53099,67150,13484,0,311351,0,0,46043,34.4,46043,34.4,46043,34.4,2473,67.6,28258,17120,643,22,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
California,87764955,222121,286649,72943064,184609,64990458,212265,32647855,82.6,28676640,93.7,28134229,71.2,24733441,80.8,52612175,31449780,3703000,0,2299251,27174500,43453688,15625,9638783,16407228,2083224,4994,9611877,13041717,2075225,4622,N/A,82.6,N/A,93.7,68.2,23535243,76.9,32647855,6005266,95,5208285,89.2,2631688,2373047,202072,1478,14936317,255841,1503310,31167362,92.6,26914976,80,9637991,15189464,2082589,4932,70243897,208772,260846,32623965,87.9,28121072,75.7,9638470,16394779,2082830,4993,72906218,196362,236382,14006836,49.8,14004604,52,13405268,54.2,3750744,72,6034458,7751154,220662,562,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Colorado,12120675,210475,269395,10485728,182084,9444662,209918,4544455,78.9,4029786,89.6,4021195,69.8,3576030,79.5,7177535,4454040,489100,0,340306,4050013,6085378,10031,1430811,2276287,311359,2738,1430169,1832225,311008,2628,N/A,78.9,N/A,89.6,66.6,3391259,75.4,4544455,855144,95,778098,92.4,370776,377536,28884,902,2259381,268204,1438810,4344661,88,3857269,78.1,1430736,2112481,311332,2720,10120992,205042,245554,4543015,83.7,4021115,74.1,1430796,2276242,311340,2737,10484228,193203,223359,2053587,51.1,2053151,53.2,1972017,55.1,581849,74.8,908954,1118136,25914,583,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Connecticut,8494025,238242,299312,7425889,208283,6657713,234604,3378610,94.8,2995682,95,2799933,78.5,2478128,87.3,4873345,3278080,342600,0,248948,2803764,4371936,1241,944281,1624617,230584,451,943743,1303646,230394,345,N/A,94.8,N/A,95,74.5,2335569,82.3,3378610,733321,95,604163,95,237644,343667,22750,102,1797710,285240,1347740,3238504,95,2683670,86.4,943951,1508771,230500,448,7167951,230781,273476,3377099,95,2799488,82.7,944073,1624461,230504,450,7423970,219412,251037,1432510,51.2,1432341,53.4,1373393,55.4,448663,74.3,654235,760555,17685,35,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
