"Title: COVID-19 Vaccines Delivered and Administered | KFF"
"Timeframe: as of 2/24"
"Location","Total COVID-19 Vaccines Delivered","Total COVID-19 Vaccines Administered","Share of Delivered Vaccines That Have Been Administered","Number of People Who Have Been Vaccinated with At Least One Dose","Share of Population Vaccinated with At Least One Dose","Number of People Who Have Been Fully Vaccinated","Share of Population Fully Vaccinated"
"United States","688,186,745","551,855,907","0.802","253,307,984","0.763","215,253,201","0.648"
"Alabama","9,229,440","6,087,103","0.66","3,031,464","0.618","2,459,363","0.502"
"Alaska","1,436,865","1,093,808","0.761","500,864","0.685","445,530","0.609"
"Arizona","14,019,320","11,508,661","0.821","5,191,587","0.713","4,364,444","0.6"
"Arkansas","5,845,920","4,081,816","0.698","1,981,905","0.657","1,612,690","0.534"
"California","85,679,525","71,306,336","0.832","32,284,670","0.817","27,773,615","0.703"
"Colorado","11,822,075","10,299,034","0.871","4,507,596","0.783","3,980,992","0.691"
"Connecticut","8,282,535","7,277,732","0.879","3,345,245","0.938","2,771,081","0.777"
"Delaware","2,215,155","1,729,273","0.781","794,932","0.816","656,886","0.675"
"District of Columbia","1,771,405","1,412,520","0.797","670,350","0.95","503,427","0.713"
"Florida","45,510,745","36,035,360","0.792","16,742,736","0.78","14,140,484","0.658"
"Georgia","20,586,095","14,324,212","0.696","6,823,694","0.643","5,684,843","0.535"
"Hawaii","3,313,480","2,798,201","0.844","1,219,505","0.861","1,091,528","0.771"
"Idaho","3,204,890","2,360,131","0.736","1,076,526","0.602","947,620","0.53"
"Illinois","26,091,295","21,736,793","0.833","9,626,645","0.76","8,535,116","0.674"
"Indiana","12,572,080","9,181,342","0.73","4,079,456","0.606","3,633,484","0.54"
"Iowa","6,218,655","4,918,082","0.791","2,120,865","0.672","1,925,828","0.61"
"Kansas","5,730,415","4,426,448","0.772","2,136,257","0.733","1,748,742","0.6"
"Kentucky","8,364,175","6,307,433","0.754","2,914,663","0.652","2,518,865","0.564"
"Louisiana","7,882,490","6,037,879","0.766","2,791,343","0.6","2,437,569","0.524"
"Maine","3,184,150","2,699,754","0.848","1,199,695","0.892","1,052,865","0.783"
"Maryland","14,974,410","11,477,997","0.767","5,123,280","0.847","4,467,987","0.739"
"Massachusetts","16,136,690","14,240,010","0.882","6,644,667","0.95","5,347,614","0.776"
"Michigan","19,969,530","15,173,971","0.76","6,594,683","0.66","5,906,732","0.591"
"Minnesota","11,948,370","9,881,179","0.827","4,188,548","0.743","3,839,758","0.681"
"Mississippi","5,272,935","3,755,138","0.712","1,747,941","0.587","1,513,239","0.508"
"Missouri","11,044,405","8,640,760","0.782","4,007,078","0.653","3,378,567","0.55"
"Montana","1,876,695","1,532,922","0.817","688,693","0.644","597,260","0.559"
"Nebraska","3,759,510","3,076,310","0.818","1,340,841","0.693","1,207,389","0.624"
"Nevada","5,658,010","4,702,645","0.831","2,277,308","0.739","1,835,909","0.596"
"New Hampshire","3,264,030","2,627,136","0.805","1,465,389","0.95","949,182","0.698"
"New Jersey","20,891,835","16,506,885","0.79","7,891,960","0.889","6,584,250","0.741"
"New Mexico","4,239,545","3,757,497","0.886","1,800,199","0.859","1,458,010","0.695"
"New York","43,788,845","37,747,898","0.862","17,276,912","0.888","14,667,298","0.754"
